281 2137
156 122 1.52
156 158 1.52
156 159 1.36
156 160 1.68
156 161 1.52
156 162 1.36
156 163 1.68
157 122 1.68
157 158 1.68
157 159 1.84
157 160 1.52
157 161 1.68
157 162 1.84
157 163 1.2
122 158 1.84
122 159 1.68
122 160 1.68
122 161 1.84
122 162 1.68
122 163 1.36
158 159 1.68
158 160 1.68
158 161 1.84
158 162 1.68
158 163 1.36
159 160 1.52
159 161 1.68
159 162 1.84
159 163 1.2
160 161 1.68
160 162 1.52
160 163 1.52
161 162 1.68
161 163 1.36
162 163 1.2
164 165 1.68
164 166 1.84
164 167 1.68
164 168 1.84
164 169 1.84
164 170 1.68
164 171 1.84
164 172 1.84
164 173 1.84
164 174 1.84
164 175 1.84
164 176 1.84
164 3 1.84
164 177 1.68
165 166 1.68
165 167 1.84
165 168 1.68
165 169 1.68
165 170 1.84
165 171 1.68
165 172 1.68
165 173 1.68
165 174 1.68
165 175 1.68
165 176 1.68
165 3 1.68
165 177 1.84
166 167 1.68
166 168 1.84
166 169 1.84
166 170 1.68
166 171 1.84
166 172 1.84
166 173 1.84
166 174 1.84
166 175 1.84
166 176 1.84
166 3 1.84
166 177 1.68
167 168 1.68
167 169 1.68
167 170 1.84
167 171 1.68
167 172 1.68
167 173 1.68
167 174 1.68
167 175 1.68
167 176 1.68
167 3 1.68
167 177 1.84
168 169 1.84
168 170 1.68
168 171 1.84
168 172 1.84
168 173 1.84
168 174 1.84
168 175 1.84
168 176 1.84
168 3 1.84
168 177 1.68
169 170 1.68
169 171 1.84
169 172 1.84
169 173 1.84
169 174 1.84
169 175 1.84
169 176 1.84
169 3 1.84
169 177 1.68
170 171 1.68
170 172 1.68
170 173 1.68
170 174 1.68
170 175 1.68
170 176 1.68
170 3 1.68
170 177 1.84
171 172 1.84
171 173 1.84
171 174 1.84
171 175 1.84
171 176 1.84
171 3 1.84
171 177 1.68
172 173 1.84
172 174 1.84
172 175 1.84
172 176 1.84
172 3 1.84
172 177 1.68
173 174 1.84
173 175 1.84
173 176 1.84
173 3 1.84
173 177 1.68
174 175 1.84
174 176 1.84
174 3 1.84
174 177 1.68
175 176 1.84
175 3 1.84
175 177 1.68
176 3 1.84
176 177 1.68
3 177 1.68
178 179 1.68
178 3 1.84
178 180 1.68
178 181 1.68
178 182 1.84
178 183 1.84
178 184 1.68
178 185 1.84
178 186 1.68
178 187 1.84
178 188 1.68
178 109 1.84
178 189 1.84
178 190 1.84
179 3 1.68
179 180 1.84
179 181 1.84
179 182 1.68
179 183 1.68
179 184 1.84
179 185 1.68
179 186 1.84
179 187 1.68
179 188 1.84
179 109 1.68
179 189 1.68
179 190 1.68
3 180 1.68
3 181 1.68
3 182 1.84
3 183 1.84
3 184 1.68
3 185 1.84
3 186 1.68
3 187 1.84
3 188 1.68
3 109 1.84
3 189 1.84
3 190 1.84
180 181 1.84
180 182 1.68
180 183 1.68
180 184 1.84
180 185 1.68
180 186 1.84
180 187 1.68
180 188 1.84
180 109 1.68
180 189 1.68
180 190 1.68
181 182 1.68
181 183 1.68
181 184 1.84
181 185 1.68
181 186 1.84
181 187 1.68
181 188 1.84
181 109 1.68
181 189 1.68
181 190 1.68
182 183 1.84
182 184 1.68
182 185 1.84
182 186 1.68
182 187 1.84
182 188 1.68
182 109 1.84
182 189 1.84
182 190 1.84
183 184 1.68
183 185 1.84
183 186 1.68
183 187 1.84
183 188 1.68
183 109 1.84
183 189 1.84
183 190 1.84
184 185 1.68
184 186 1.84
184 187 1.68
184 188 1.84
184 109 1.68
184 189 1.68
184 190 1.68
185 186 1.68
185 187 1.84
185 188 1.68
185 109 1.84
185 189 1.84
185 190 1.84
186 187 1.68
186 188 1.84
186 109 1.68
186 189 1.68
186 190 1.68
187 188 1.68
187 109 1.84
187 189 1.84
187 190 1.84
188 109 1.68
188 189 1.68
188 190 1.68
109 189 1.84
109 190 1.84
189 190 1.84
191 192 1.84
191 193 1.84
191 194 1.84
191 195 1.68
191 196 1.84
191 139 1.84
191 197 1.84
191 198 1.84
191 11 1.84
191 199 1.84
191 200 1.84
191 201 1.84
191 202 1.84
191 203 1.84
192 193 1.84
192 194 1.84
192 195 1.68
192 196 1.84
192 139 1.84
192 197 1.84
192 198 1.84
192 11 1.84
192 199 1.84
192 200 1.84
192 201 1.84
192 202 1.84
192 203 1.84
193 194 1.84
193 195 1.68
193 196 1.84
193 139 1.84
193 197 1.84
193 198 1.84
193 11 1.84
193 199 1.84
193 200 1.84
193 201 1.84
193 202 1.84
193 203 1.84
194 195 1.68
194 196 1.84
194 139 1.84
194 197 1.84
194 198 1.84
194 11 1.84
194 199 1.84
194 200 1.84
194 201 1.84
194 202 1.84
194 203 1.84
195 196 1.68
195 139 1.68
195 197 1.68
195 198 1.68
195 11 1.68
195 199 1.68
195 200 1.68
195 201 1.68
195 202 1.68
195 203 1.68
196 139 1.84
196 197 1.84
196 198 1.84
196 11 1.84
196 199 1.84
196 200 1.84
196 201 1.84
196 202 1.84
196 203 1.84
139 197 1.84
139 198 1.84
139 11 1.84
139 199 1.84
139 200 1.84
139 201 1.84
139 202 1.84
139 203 1.84
197 198 1.84
197 11 1.84
197 199 1.84
197 200 1.84
197 201 1.84
197 202 1.84
197 203 1.84
198 11 1.84
198 199 1.84
198 200 1.84
198 201 1.84
198 202 1.84
198 203 1.84
11 199 1.84
11 200 1.84
11 201 1.84
11 202 1.84
11 203 1.84
199 200 1.84
199 201 1.84
199 202 1.84
199 203 1.84
200 201 1.84
200 202 1.84
200 203 1.84
201 202 1.84
201 203 1.84
202 203 1.84
204 205 1.84
204 206 1.84
204 207 1.84
204 208 1.84
204 209 1.68
204 210 1.68
204 211 1.84
204 109 1.84
204 212 1.68
204 213 1.84
204 214 1.84
204 215 1.68
204 216 1.84
204 55 1.68
205 206 1.84
205 207 1.84
205 208 1.84
205 209 1.68
205 210 1.68
205 211 1.84
205 109 1.84
205 212 1.68
205 213 1.84
205 214 1.84
205 215 1.68
205 216 1.84
205 55 1.68
206 207 1.84
206 208 1.84
206 209 1.68
206 210 1.68
206 211 1.84
206 109 1.84
206 212 1.68
206 213 1.84
206 214 1.84
206 215 1.68
206 216 1.84
206 55 1.68
207 208 1.84
207 209 1.68
207 210 1.68
207 211 1.84
207 109 1.84
207 212 1.68
207 213 1.84
207 214 1.84
207 215 1.68
207 216 1.84
207 55 1.68
208 209 1.68
208 210 1.68
208 211 1.84
208 109 1.84
208 212 1.68
208 213 1.84
208 214 1.84
208 215 1.68
208 216 1.84
208 55 1.68
209 210 1.84
209 211 1.68
209 109 1.68
209 212 1.84
209 213 1.68
209 214 1.68
209 215 1.84
209 216 1.68
209 55 1.84
210 211 1.68
210 109 1.68
210 212 1.84
210 213 1.68
210 214 1.68
210 215 1.84
210 216 1.68
210 55 1.84
211 109 1.84
211 212 1.68
211 213 1.84
211 214 1.84
211 215 1.68
211 216 1.84
211 55 1.68
109 212 1.68
109 213 1.84
109 214 1.84
109 215 1.68
109 216 1.84
109 55 1.68
212 213 1.68
212 214 1.68
212 215 1.84
212 216 1.68
212 55 1.84
213 214 1.84
213 215 1.68
213 216 1.84
213 55 1.68
214 215 1.68
